City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
156,geraldton,-28.7667,114.6,281.38,81,1,5.14,AU,1722641507
157,north bay,46.3168,-79.4663,302.16,61,75,2.57,CA,1722641438
158,opuwo,-18.0607,13.84,290.52,34,0,2.56,NA,1722641510
159,grand falls-windsor,48.9332,-55.6649,285.1,90,91,0.89,CA,1722641511
160,canitas de felipe pescador,23.6,-102.7167,298.77,29,82,4.76,MX,1722641513
161,naryn,41.4287,75.9911,284.97,71,20,2.35,KG,1722641514
162,constantia,44.1833,28.65,294.65,71,19,5.26,RO,1722641516
163,fisterra,42.9049,-9.2629,289.83,84,0,4.5,ES,1722641518
164,dhidhdhoo,6.8833,73.1,301.48,77,100,5.07,MV,1722641519
165,gejiu,23.306,103.1635,289.52,99,100,1.43,CN,1722641520
166,tangzhai,34.4328,116.5911,302.68,82,28,2.18,CN,1722641522
167,montepuez,-13.1256,38.9997,289.77,93,0,2.62,MZ,1722641524
168,waddan,29.1614,16.139,299.9,46,0,2.36,LY,1722641526
169,vadso,70.0744,29.7487,284.64,87,11,4.63,NO,1722641528
170,las palmas,28.4204,-14.0131,296.59,57,0,6.17,ES,1722641529
171,port mathurin,-19.6833,63.4167,295.16,71,81,5.97,MU,1722641530
172,prince george,53.9166,-122.753,300.16,37,0,1.03,CA,1722641330
173,hadibu,12.65,54.0333,299.31,78,76,11.75,YE,1722641534
174,vanino,49.0869,140.2543,291.15,62,100,3.65,RU,1722641535
175,axim,4.8699,-2.2405,296.79,90,93,2.8,GH,1722641536
176,katsina,12.9894,7.6006,297.05,85,99,4.33,NG,1722641537
177,launceston,-41.45,147.1667,283.6,93,100,5.14,AU,1722641270
178,bolobo,-2.1667,16.2333,296.69,56,19,0.96,CD,1722641540
179,smithers,54.7804,-127.1743,299.33,25,40,3.6,CA,1722641541
180,nagqu,31.5,92.0,277.58,89,100,0.92,CN,1722641542
181,fort st. john,56.2499,-120.8529,295.09,33,100,3.09,CA,1722641395
182,dubti,11.7361,41.0853,299.84,72,100,2.76,ET,1722641544
183,vila franca do campo,37.7167,-25.4333,296.38,87,11,2.01,PT,1722641546
